import time: self [us] | cumulative | imported package
import time:       664 |        664 | winreg
import time:      1245 |       1245 |   _io
import time:       412 |        412 |   marshal
import time:       873 |        873 |   nt
import time:      2371 |       4900 | _frozen_importlib_external
import time:      6302 |       6302 |   time
import time:      1703 |       8004 | zipimport
import time:       675 |        675 |     _codecs
import time:      2411 |       3085 |   codecs
import time:      6360 |       6360 |   encodings.aliases
import time:     16172 |      25617 | encodings
import time:      4556 |       4556 | encodings.utf_8
import time:      3421 |       3421 | encodings.cp1252
import time:       366 |        366 | _signal
import time:       302 |        302 |     _abc
import time:      1279 |       1581 |   abc
import time:      1335 |       2916 | io
import time:       388 |        388 |       _stat
import time:      1012 |       1399 |     stat
import time:      4781 |       4781 |     _collections_abc
import time:       329 |        329 |       genericpath
import time:       877 |        877 |       _winapi
import time:      1909 |       3115 |     ntpath
import time:      3230 |      12523 |   os
import time:       517 |        517 |   _sitebuiltins
import time:      3233 |       3233 |   encodings.utf_8_sig
import time:     11956 |      11956 |   _distutils_hack
import time:      3954 |       3954 |   sitecustomize
import time:     27642 |      59823 | site
import time:      5373 |       5373 | __future__
import time:      5445 |       5445 |       types
import time:       483 |        483 |         _operator
import time:      3689 |       4171 |       operator
import time:       925 |        925 |           itertools
import time:      4324 |       4324 |           keyword
import time:      3531 |       3531 |           reprlib
import time:       844 |        844 |           _collections
import time:      8731 |      18353 |         collections
import time:       509 |        509 |         _functools
import time:      6105 |      24966 |       functools
import time:     16613 |      51195 |     enum
import time:       625 |        625 |       _sre
import time:      4674 |       4674 |         re._constants
import time:      5282 |       9955 |       re._parser
import time:      4525 |       4525 |       re._casefix
import time:      8912 |      24016 |     re._compiler
import time:      5729 |       5729 |     copyreg
import time:     11483 |      92421 |   re
import time:      4268 |       4268 |   warnings
import time:      6416 |       6416 |   gettext
import time:     10971 |     114074 | argparse
import time:      2613 |       2613 |     _weakrefset
import time:      4738 |       7350 |   threading
import time:       284 |        284 |     _heapq
import time:      3264 |       3548 |   heapq
import time:      5938 |       5938 |   _queue
import time:      4719 |      21554 | queue
import time:       460 |        460 |   errno
import time:       392 |        392 |     _locale
import time:      6111 |       6502 |   locale
import time:      2581 |       2581 |   signal
import time:      3751 |       3751 |   contextlib
import time:      1774 |       1774 |   fcntl
import time:       315 |        315 |   msvcrt
import time:      9355 |      24736 | subprocess
import time:      2060 |       2060 |   collections.abc
import time:      1997 |       1997 |       token
import time:       244 |        244 |       _tokenize
import time:      5535 |       7776 |     tokenize
import time:      2257 |      10032 |   linecache
import time:      4771 |       4771 |   textwrap
import time:      4324 |      21186 | traceback
import time:      1525 |       1525 |       posix
import time:       381 |       1905 |     posixpath
import time:      2189 |       4093 |   fnmatch
import time:      1839 |       1839 |     urllib
import time:       740 |        740 |     math
import time:      6981 |       6981 |     ipaddress
import time:      5328 |      14888 |   urllib.parse
import time:      4950 |      23931 | pathlib
import time:       170 |        170 |   _typing
import time:     11028 |      11198 | typing
import time:       458 |        458 |   zlib
import time:      2932 |       2932 |     _compression
import time:      2992 |       2992 |     _bz2
import time:      3040 |       8963 |   bz2
import time:      2847 |       2847 |     _lzma
import time:      2741 |       5587 |   lzma
import time:      5834 |      20841 | shutil
[    0.0s] env set
[    0.0s] probe mode=raw device=cpu
[    0.0s] step 1: importing surya.detection
import time:      4936 |       4936 |   surya
import time:      2525 |       2525 |     concurrent
import time:      5935 |       5935 |         weakref
import time:       391 |        391 |           _string
import time:     11103 |      11493 |         string
import time:       909 |        909 |         atexit
import time:     24899 |      43236 |       logging
import time:      7403 |      50639 |     concurrent.futures._base
